dir_rel,filename,size_bytes,status,note
Assets/Scripts/Interactables,TeleportInteractable.cs,3142,ok,
Assets/Scripts/UI,DossierUI.cs,1580,ok,
Assets/Scripts/Content,EpisodeSO.cs,1273,ok,
Assets/Scripts/Runtime,EpisodeController.cs,6090,ok,
Assets/Scripts/App,SceneService.cs,280,ok,
Assets/Scripts/App,GameBootstrap.cs,1845,ok,
Assets/Scripts/Interactables,StateFlagInteractable.cs,1505,ok,
Assets/Scripts/Content,ChoiceSO.cs,705,ok,
Assets/Scripts,VRBeatInteractor.cs,1990,ok,
Assets/Scripts/Interactables,ChairController.cs,584,ok,
Assets/Scripts/UI,ChoiceButton.cs,315,ok,
Assets/Scripts/Content,BeatSO.cs,1129,ok,
Assets/Scripts/Player,VRSimpleLocomotion.cs,2133,ok,
Assets/Scripts/Feedback,FeedbackService.cs,2263,ok,
Assets/Scripts/UI,BillboardToCamera.cs,857,ok,
Assets/Scripts/Content,AppConfigSO.cs,591,ok,
Assets/Scripts/Player,VRInteractorRaycast.cs,3284,ok,
Assets/Scripts,BeatInteractable.cs,1568,ok,
Assets/Scripts/Feedback,FeedbackReport.cs,387,ok,
Assets/Scripts/Trace,TraceService.cs,1343,ok,
Assets/Scripts/App,GameStateManager.cs,1413,ok,
Assets/Scripts/App,AppContext.cs,852,ok,
Assets/Scripts/Player,PlayerController.cs,8058,ok,
Assets/Scripts/UI,OutcomeToastUI.cs,1014,ok,
Assets/Scripts/Content,TraceTypeSO.cs,645,ok,
Assets/Scripts/App,MainMenuStart.cs,949,ok,
Assets/Scripts/Trace,TraceEvent.cs,352,ok,
Assets/Scripts/Phone,PhoneUIRoot.cs,668,ok,
Assets/Scripts/Content,TraceTaxonomySO.cs,603,ok,
Assets/Scripts/Trace,InMemoryTraceStore.cs,686,ok,
Assets/Scripts/App,SessionService.cs,274,ok,
Assets/Scripts/Phone,ChatPanel.cs,2442,ok,
Assets/Scripts/UI,DropSlot.cs,459,ok,
Assets/Scripts/Content,SceneSO.cs,317,ok,
Assets/Scripts/Trace,ITraceStore.cs,257,ok,
Assets/Scripts/NPC,LeadController.cs,2222,ok,
Assets/Scripts/Content,InteractionSO.cs,694,ok,
Assets/Scripts/UI,SummaryUI.cs,485,ok,
Assets/Scripts/UI,Dragable.cs,2431,ok,
Assets/Scripts/Runtime,BeatRunner.cs,1553,ok,
Assets/Scripts/UI,EpisodeSummaryUI.cs,1900,ok,
Assets/Scripts/UI,DialogueUI.cs,6699,ok,
Assets/Scripts/UI,ScreenFader.cs,1786,ok,
Assets/Scripts/Runtime,InteractionRouter.cs,1562,ok,
Assets/Scripts/UI,PCUI.cs,4152,ok,
Assets/Scripts/UI,WorldSpaceUIFollow.cs,3143,ok,
