dir_rel,filename,size_bytes,status,note
Assets/Scripts/Phone,ChatPanel.cs.meta,60,ok,
Assets/Scripts/Content,BeatSO.cs.meta,60,ok,
Assets/Scripts/Phone,ChatPanel.cs,2883,ok,
Assets/Scripts/Content,BeatSO.cs,1210,ok,
Assets/Scripts/App,GameBootstrap.cs,1098,ok,
Assets/Scripts/Narrative,YarnVariableBridge.cs.meta,59,ok,
Assets/Scripts/Content,AppConfigSO.cs.meta,60,ok,
Assets/Scripts,UI.meta,180,ok,
Assets/Scripts/Narrative,YarnVariableBridge.cs,1170,ok,
Assets/Scripts/Content,AppConfigSO.cs,611,ok,
Assets/Scripts/Trace,FileTraceStore.cs.meta,59,ok,
Assets/Scripts/Narrative,YarnCommandBridge.cs.meta,59,ok,
Assets/Scripts/App,SessionService.cs.meta,60,ok,
Assets/Scripts/Narrative,YarnCommandBridge.cs,6470,ok,
Assets/Scripts,Trace.meta,180,ok,
Assets/Scripts/App,SessionService.cs,719,ok,
Assets/Scripts,State.meta,172,ok,
Assets/Scripts/State,PlayerStateSnapshot.cs.meta,59,ok,
Assets/Scripts/Narrative,YarnAutoStart.cs.meta,59,ok,
Assets/Scripts,App.meta,180,ok,
Assets/Scripts,Phone.meta,180,ok,
Assets/Scripts/State,PlayerStateSnapshot.cs,773,ok,
Assets/Scripts/App,SceneService.cs,524,ok,
Assets/Scripts/Narrative,YarnAutoStart.cs,553,ok,
Assets/Scripts/State,PlayerStateService.cs.meta,59,ok,
Assets/Scripts/Narrative,NarrativeService.cs.meta,59,ok,
Assets/Scripts/State,PlayerStateService.cs,2437,ok,
Assets/Scripts/App,GameBootstrap.cs.meta,60,ok,
Assets/Scripts/App,MainMenuStart.cs,949,ok,
Assets/Scripts/Narrative,NarrativeService.cs,2632,ok,
Assets/Scripts/State,GameStateKeys.cs.meta,59,ok,
Assets/Scripts/Narrative,GameStateVariableStorage.cs.meta,59,ok,
Assets/Scripts/State,GameStateKeys.cs,966,ok,
Assets/Scripts/App,GameStateManager.cs.meta,60,ok,
Assets/Scripts/Narrative,GameStateVariableStorage.cs,2440,ok,
Assets/Scripts/Save,SaveService.cs.meta,59,ok,
Assets/Scripts/Interactables,TeleportInteractable.cs.meta,60,ok,
Assets/Scripts,Player.meta,180,ok,
Assets/Scripts/App,GameStateManager.cs,1764,ok,
Assets/Scripts/App,GameEventBus.cs,1386,ok,
Assets/Scripts/Save,SaveService.cs,3422,ok,
Assets/Scripts/App,GameEventBus.cs.meta,59,ok,
Assets/Scripts/Interactables,TeleportInteractable.cs,3127,ok,
Assets/Scripts/Save,SaveData.cs.meta,59,ok,
Assets/Scripts/Interactables,StateFlagInteractable.cs.meta,60,ok,
Assets/Scripts,Feedback.meta,180,ok,
Assets/Scripts/Save,SaveData.cs,612,ok,
Assets/Scripts/Interactables,StateFlagInteractable.cs,1490,ok,
Assets/Scripts,Content.meta,180,ok,
Assets/Scripts/Runtime,NodeInteractable.cs.meta,59,ok,
Assets/Scripts/Feedback,FeedbackService.cs.meta,60,ok,
Assets/Scripts/Runtime,NodeInteractable.cs,965,ok,
Assets/Scripts/Feedback,FeedbackService.cs,2971,ok,
Assets/Scripts/Runtime,InteractionRouter.cs.meta,60,ok,
Assets/Scripts/Feedback,FeedbackReport.cs.meta,60,ok,
Assets/Scripts/Runtime,InteractionRouter.cs,2484,ok,
Assets/Scripts/Feedback,FeedbackReport.cs,387,ok,
Assets/Scripts/Runtime,IInteractable.cs.meta,59,ok,
Assets/Scripts/Content,TraceTypeSO.cs.meta,60,ok,
Assets/Scripts/Runtime,IInteractable.cs,113,ok,
Assets/Scripts/Content,TraceTypeSO.cs,645,ok,
Assets/Scripts/Runtime,EpisodeController.cs.meta,60,ok,
Assets/Scripts/Content,TraceTaxonomySO.cs.meta,60,ok,
Assets/Scripts/App,AppContext.cs.meta,60,ok,
Assets/Scripts/Runtime,EpisodeController.cs,7060,ok,
Assets/Scripts/App,SceneService.cs.meta,60,ok,
Assets/Scripts/Content,TraceTaxonomySO.cs,603,ok,
Assets/Scripts/Runtime,BeatRunner.cs.meta,60,ok,
Assets/Scripts,Runtime.meta,180,ok,
Assets/Scripts/Content,SceneSO.cs.meta,60,ok,
Assets/Scripts/App,AppContext.cs,1523,ok,
Assets/Scripts/Runtime,BeatRunner.cs,1676,ok,
Assets/Scripts/Content,SceneSO.cs,332,ok,
Assets/Scripts,Narrative.meta,172,ok,
Assets/Scripts/Player,PlayerController.cs.meta,60,ok,
Assets/Scripts/Content,InteractionSO.cs.meta,60,ok,
Assets/Scripts/Player,PlayerController.cs,4249,ok,
Assets/Scripts/Content,InteractionSO.cs,959,ok,
Assets/Scripts/App,MainMenuStart.cs.meta,60,ok,
Assets/Scripts,Interactables.meta,180,ok,
Assets/Scripts/Phone,PhoneUIRoot.cs.meta,60,ok,
Assets/Scripts/Content,EpisodeSO.cs.meta,60,ok,
Assets/Scripts,Save.meta,172,ok,
Assets/Scripts/Phone,PhoneUIRoot.cs,731,ok,
Assets/Scripts/Content,EpisodeSO.cs,1321,ok,
Assets/Scripts/Phone,PhoneUIListener.cs.meta,59,ok,
Assets/Scripts/Content,ChoiceSO.cs.meta,60,ok,
Assets/Scripts/Phone,PhoneUIListener.cs,1743,ok,
Assets/Scripts/Content,ChoiceSO.cs,779,ok,
Assets/Scripts/Trace,ITraceStore.cs,257,ok,
Assets/Scripts/Trace,FileTraceStore.cs,2599,ok,
Assets/Scripts/Trace,InMemoryTraceStore.cs,686,ok,
Assets/Scripts/Trace,ITraceStore.cs.meta,60,ok,
Assets/Scripts/Trace,InMemoryTraceStore.cs.meta,60,ok,
Assets/Scripts/Trace,TraceEvent.cs,828,ok,
Assets/Scripts/Trace,TraceEvent.cs.meta,60,ok,
Assets/Scripts/Trace,TraceService.cs,2099,ok,
Assets/Scripts/Trace,TraceService.cs.meta,60,ok,
Assets/Scripts/UI,BillboardToCamera.cs,857,ok,
Assets/Scripts/UI,BillboardToCamera.cs.meta,60,ok,
Assets/Scripts/UI,ChoiceButton.cs,332,ok,
Assets/Scripts/UI,ChoiceButton.cs.meta,60,ok,
Assets/Scripts/UI,DialogueUI.cs,5870,ok,
Assets/Scripts/UI,DialogueUI.cs.meta,60,ok,
Assets/Scripts/UI,EpisodeSummaryUI.cs,1900,ok,
Assets/Scripts/UI,EpisodeSummaryUI.cs.meta,60,ok,
Assets/Scripts/UI,OutcomeToastUI.cs,1014,ok,
Assets/Scripts/UI,OutcomeToastUI.cs.meta,60,ok,
Assets/Scripts/UI,ScreenFader.cs,1786,ok,
Assets/Scripts/UI,ScreenFader.cs.meta,60,ok,
Assets/Scripts/UI,SummaryUI.cs,485,ok,
Assets/Scripts/UI,SummaryUI.cs.meta,60,ok,
Assets/Scripts/UI,ToastUIListener.cs.meta,59,ok,
Assets/Scripts/UI,ToastUIListener.cs,807,ok,
