dir_rel,filename,size_bytes,status,note
Assets/Scripts/Feedback,FeedbackService.cs,2263,ok,
Assets/Scripts/Content,EpisodeSO.cs,1211,ok,
Assets/Scripts/Content,BeatSO.cs,720,ok,
Assets/Scripts/Trace,TraceEvent.cs,352,ok,
Assets/Scripts/Feedback,FeedbackReport.cs,387,ok,
Assets/Scripts/App,SceneService.cs,280,ok,
Assets/Scripts/App,GameBootstrap.cs,1780,ok,
Assets/Scripts/Trace,InMemoryTraceStore.cs,686,ok,
Assets/Scripts/Content,TraceTypeSO.cs,298,ok,
Assets/Scripts/App,SessionService.cs,274,ok,
Assets/Scripts/Content,TraceTaxonomySO.cs,1007,ok,
Assets/Scripts/Trace,ITraceStore.cs,257,ok,
Assets/Scripts/Content,SceneSO.cs,317,ok,
Assets/Scripts/Content,AppConfigSO.cs,591,ok,
Assets/Scripts/App,MainMenuStart.cs,332,ok,
Assets/Scripts/Runtime,InteractionRouter.cs,991,ok,
Assets/TutorialInfo/Scripts/Editor,ReadmeEditor.cs,6677,ok,
Assets/Scripts/App,AppContext.cs,852,ok,
Assets/Scripts/Runtime,EpisodeController.cs,3568,ok,
Assets/TutorialInfo/Scripts,Readme.cs,302,ok,
Assets/Scripts/Runtime,BeatRunner.cs,892,ok,
Assets/Scripts/Content,InteractionSO.cs,632,ok,
Assets/Scripts/UI,SummaryUI.cs,485,ok,
Assets/Scripts/Phone,PhoneUIRoot.cs,668,ok,
Assets/Scripts/Content,ChoiceSO.cs,560,ok,
Assets/Scripts/UI,ChoiceButton.cs,315,ok,
Assets/Scripts/Phone,ChatPanel.cs,1463,ok,
Assets/Scripts/Trace,TraceService.cs,1343,ok,
